,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q35,Q36,Q37
0,mother-in-law,250.0,50.0,25.0,Yes,Family members are each responsible for different bills,,4,4,,careshare would help me figure out ways to pay off my mother in laws bills,4,they would help us,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,4,5,4,none,none
1,grandparent,35000.0,30000.0,5000.0,Yes,"Family members are each responsible for different bills,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,3,,Because i heard good things,2,,Because we are poor,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,2,Required,3,4,4,No,No
2,mother,12000.0,10000.0,200.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,5,,I love the brand new ones and I,5,I love their prices and products and I,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,I feel like they are going,I feel that I have blond to do
3,father,2150.0,200.0,1950.0,No,,,2,5,,So it can lay out maybe an even way for families to help each other pay for an Elders care,4,Because I've been trying to figure out a way to help and sometimes we just get too busy to do so,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,4,5,No,No
4,grandparent,500.0,300.0,200.0,No,,,1,5,,So i could share the expenses with my family,3,I’m not sure,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,I don’t think anything was missed,Nothing was confusing
5,father,1000.0,900.0,100.0,No,,,3,4,,To help splitcost,2,,So they dont have to pay,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,5,5,4,No,No
6,grandparent,1600.0,1300.0,300.0,No,,,1,1,I don't think anyone would help me,,1,,They barely help me as it is,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Optional,1,4,4,No,No
7,grandparent,1200.0,0.0,1200.0,No,,,1,5,,I need help from the family,3,Some will help others will not,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,No,No
8,mother,500.0,100.0,400.0,No,,,1,5,,Helps with expenses,5,Help with expenses,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,Food stamps expenses,No
9,mother,3000.0,2000.0,500.0,Yes,Family members divide the total cost,,4,5,,Because it's very difficult especially in this Economic Times to have any extra money for yourself let alone to pay another's living expenses but if it's your mother you feel obligated to do it so you have no choice in having help with the great thing,5,We are all paying our own bills we all have our own families to take care of so I believe that we would all be interested and having someone like care Share help us,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,5,5,5,I would hope that they would have some type of virtual session with all of our family members so that you can have a conference and decide on which way is the best way to handle it,No
